,timestamp,open,high,low,close,highest_close,wvf,lowest_close,wvfl,wvf_mid,wvf_std,upperBand,lowerBand,wvfl_mid,wvfl_std,upperBandl,lowerBandl,rangeHigh,rangeLow,rangeHighl,rangeLowl,last_bullish,last_bearish
0,1735530300,23796.9,23818.8,23767.75,23782.65,,,,,,,,,,,,,,,,,False,False
1,1735530360,23783.9,23797.6,23765.05,23773.05,,,,,,,,,,,,,,,,,False,False
2,1735530420,23772.95,23780.1,23768.1,23780.1,,,,,,,,,,,,,,,,,False,False
3,1735530480,23780.35,23780.85,23773.05,23774.6,,,,,,,,,,,,,,,,,False,False
4,1735530540,23774.65,23806.2,23774.4,23802.0,,,,,,,,,,,,,,,,,False,False
5,1735530600,23803.9,23807.5,23781.5,23793.65,,,,,,,,,,,,,,,,,False,False
6,1735530660,23794.0,23796.4,23777.75,23785.9,,,,,,,,,,,,,,,,,False,False
7,1735530720,23787.55,23791.45,23782.05,23783.15,,,,,,,,,,,,,,,,,False,False
8,1735530780,23782.6,23788.15,23779.25,23785.05,,,,,,,,,,,,,,,,,False,False
9,1735530840,23782.85,23783.6,23776.55,23776.55,,,,,,,,,,,,,,,,,False,False
10,1735530900,23776.95,23777.0,23769.35,23771.1,,,,,,,,,,,,,,,,,False,False
11,1735530960,23772.5,23773.7,23766.95,23771.8,,,,,,,,,,,,,,,,,False,False
12,1735531020,23772.2,23783.45,23772.2,23776.95,,,,,,,,,,,,,,,,,False,False
13,1735531080,23775.3,23775.3,23764.15,23767.3,,,,,,,,,,,,,,,,,False,False
14,1735531140,23764.9,23767.15,23757.2,23758.4,,,,,,,,,,,,,,,,,False,False
15,1735531200,23755.7,23765.85,23751.35,23755.9,,,,,,,,,,,,,,,,,False,False
16,1735531260,23755.25,23757.9,23750.1,23755.75,,,,,,,,,,,,,,,,,False,False
17,1735531320,23756.05,23770.1,23754.5,23758.4,,,,,,,,,,,,,,,,,False,False
18,1735531380,23758.25,23758.25,23745.1,23746.45,,,,,,,,,,,,,,,,,False,False
19,1735531440,23746.75,23757.75,23744.85,23752.1,,,,,,,,,,,,,,,,,False,False
20,1735531500,23752.95,23763.3,23747.55,23747.55,,,,,,,,,,,,,,,,,False,False
21,1735531560,23747.6,23748.35,23737.25,23746.35,,,,,,,,,,,,,,,,,False,False
22,1735531620,23747.0,23747.45,23736.85,23737.15,,,,,,,,,,,,,,,,,False,False
23,1735531680,23737.2,23737.6,23731.65,23731.95,,,,,,,,,,,,,,,,,False,False
24,1735531740,23731.85,23731.85,23723.55,23726.05,,,,,,,,,,,,,,,,,False,False
25,1735531800,23725.7,23726.15,23709.1,23713.1,,,,,,,,,,,,,,,,,False,False
26,1735531860,23715.9,23750.45,23715.9,23745.8,,,,,,,,,,,,,,,,,False,False
27,1735531920,23744.5,23744.5,23716.0,23719.15,,,,,,,,,,,,,,,,,False,False
28,1735531980,23718.7,23720.2,23713.85,23715.25,,,,,,,,,,,,,,,,,False,False
29,1735532040,23718.65,23728.4,23716.9,23725.05,,,,,,,,,,,,,,,,,False,False
30,1735532100,23724.55,23733.65,23719.85,23731.95,,,,,,,,,,,,,,,,,False,False
31,1735532160,23731.8,23750.5,23731.8,23745.75,,,,,,,,,,,,,,,,,False,False
32,1735532220,23744.95,23746.5,23733.85,23736.15,,,,,,,,,,,,,,,,,False,False
33,1735532280,23736.4,23758.35,23736.25,23757.9,,,,,,,,,,,,,,,,,False,False
34,1735532340,23758.85,23761.35,23750.3,23751.25,,,,,,,,,,,,,,,,,False,False
35,1735532400,23751.55,23768.55,23751.4,23765.95,,,,,,,,,,,,,,,,,False,False
36,1735532460,23767.35,23768.3,23762.15,23767.7,,,,,,,,,,,,,,,,,False,False
37,1735532520,23768.4,23768.6,23759.95,23766.6,,,,,,,,,,,,,,,,,False,False
38,1735532580,23767.05,23778.4,23765.55,23776.65,,,,,,,,,,,,,,,,,False,False
39,1735532640,23776.45,23778.2,23772.65,23777.65,,,,,,,,,,,,,,,,,False,False
40,1735532700,23778.2,23781.05,23769.5,23771.05,,,,,,,,,,,,,,,,,False,False
41,1735532760,23771.25,23775.15,23767.95,23769.5,,,,,,,,,,,,,,,,,False,False
42,1735532820,23769.35,23770.15,23762.85,23764.85,,,,,,,,,,,,,,,,,False,False
43,1735532880,23764.95,23765.3,23746.45,23747.65,,,,,,,,,,,,,,,,,False,False
44,1735532940,23747.15,23747.25,23737.25,23738.45,,,,,,,,,,,,,,,,,False,False
45,1735533000,23738.3,23752.6,23738.3,23752.6,,,,,,,,,,,,,,,,,False,False
46,1735533060,23752.25,23773.15,23752.25,23767.35,,,,,,,,,,,,,,,,,False,False
47,1735533120,23766.75,23773.15,23765.95,23773.15,23802.0,0.15145786068397307,23713.1,-0.25323555334394454,,,,,,,,,,,,,False,False
48,1735533180,23773.3,23777.9,23771.9,23772.8,23802.0,0.1264599613477798,23713.1,-0.2732666753819742,,,,,,,,,,,,,False,False
49,1735533240,23773.25,23773.4,23760.2,23760.65,23802.0,0.17561549449625777,23713.1,-0.25428982292489344,,,,,,,,,,,,,False,False
50,1735533300,23761.4,23770.7,23757.95,23768.9,23802.0,0.18506848164019526,23713.1,-0.24290371145064196,,,,,,,,,,,,,False,False
51,1735533360,23768.55,23768.75,23754.65,23754.65,23802.0,0.19893286278463382,23713.1,-0.2346804087192373,,,,,,,,,,,,,False,False
52,1735533420,23754.1,23754.55,23746.55,23748.8,23793.65,0.1979519745814626,23713.1,-0.17479789652133515,,,,,,,,,,,,,False,False
53,1735533480,23749.15,23755.5,23747.35,23752.45,23785.9,0.16207080665437468,23713.1,-0.17880412092894415,,,,,,,,,,,,,False,False
54,1735533540,23753.05,23765.3,23753.05,23764.1,23785.05,0.13453829191025457,23713.1,-0.220131488502139,,,,,,,,,,,,,False,False
55,1735533600,23765.3,23766.1,23757.6,23760.5,23785.05,0.11540862852926828,23713.1,-0.22350515116117253,,,,,,,,,,,,,False,False
